Author,Cancer,Cell Line,Coumarin,Dose,Time,Viability
Rashidi et al.,glioma,A172,Umbelliprenin,136.4,48,32.05
Rashidi et al.,glioma,A172,Umbelliprenin,272.8,48,10.44
Rashidi et al.,glioma,A172,Umbelliprenin,545.7,48,3.52
Rashidi et al.,glioma,A172,Umbelliprenin,8.5,72,98.19
Rashidi et al.,glioma,A172,Umbelliprenin,17.0,72,93.49
Rashidi et al.,glioma,A172,Umbelliprenin,34.0,72,89.7
Rashidi et al.,glioma,A172,Umbelliprenin,68.2,72,68.57
Rashidi et al.,glioma,A172,Umbelliprenin,136.4,72,41.91
Rashidi et al.,glioma,A172,Umbelliprenin,272.8,72,17.83
Rashidi et al.,glioma,A172,Umbelliprenin,545.7,72,9.24
Rashidi et al.,colon,HT-29,Umbelliprenin,8.1,24,98.85
Rashidi et al.,colon,HT-29,Umbelliprenin,16.3,24,98.28
Rashidi et al.,colon,HT-29,Umbelliprenin,32.7,24,89.92
Rashidi et al.,colon,HT-29,Umbelliprenin,68.2,24,71.29
Rashidi et al.,colon,HT-29,Umbelliprenin,136.4,24,29.08
Rashidi et al.,colon,HT-29,Umbelliprenin,272.8,24,15.39
Rashidi et al.,colon,HT-29,Umbelliprenin,545.7,24,6.27
Rashidi et al.,colon,HT-29,Umbelliprenin,8.1,48,99.23
Rashidi et al.,colon,HT-29,Umbelliprenin,16.3,48,89.92
Rashidi et al.,colon,HT-29,Umbelliprenin,32.7,48,92.38
Rashidi et al.,colon,HT-29,Umbelliprenin,68.2,48,64.06
Rashidi et al.,colon,HT-29,Umbelliprenin,136.4,48,25.28
Rashidi et al.,colon,HT-29,Umbelliprenin,272.8,48,18.63
Rashidi et al.,colon,HT-29,Umbelliprenin,545.7,48,8.93
Rashidi et al.,colon,HT-29,Umbelliprenin,8.1,72,99.04
Rashidi et al.,colon,HT-29,Umbelliprenin,16.3,72,95.62
Rashidi et al.,colon,HT-29,Umbelliprenin,32.7,72,92.01
Rashidi et al.,colon,HT-29,Umbelliprenin,68.2,72,76.8
Rashidi et al.,colon,HT-29,Umbelliprenin,136.4,72,28.13
Rashidi et al.,colon,HT-29,Umbelliprenin,272.8,72,10.83
Rashidi et al.,colon,HT-29,Umbelliprenin,545.7,72,3.99
Rashidi et al.,breast,MCF-7,Umbelliprenin,8.1,24,100.0
Rashidi et al.,breast,MCF-7,Umbelliprenin,16.3,24,97.82
Rashidi et al.,breast,MCF-7,Umbelliprenin,32.7,24,98.91
Rashidi et al.,breast,MCF-7,Umbelliprenin,68.2,24,59.52
Rashidi et al.,breast,MCF-7,Umbelliprenin,136.4,24,41.74
Rashidi et al.,breast,MCF-7,Umbelliprenin,272.8,24,20.14
Rashidi et al.,breast,MCF-7,Umbelliprenin,545.7,24,11.61
Rashidi et al.,breast,MCF-7,Umbelliprenin,8.1,48,98.91
Rashidi et al.,breast,MCF-7,Umbelliprenin,16.3,48,98.0
Rashidi et al.,breast,MCF-7,Umbelliprenin,32.7,48,93.1
Rashidi et al.,breast,MCF-7,Umbelliprenin,68.2,48,64.79
Rashidi et al.,breast,MCF-7,Umbelliprenin,136.4,48,30.82
Rashidi et al.,breast,MCF-7,Umbelliprenin,272.8,48,16.87
Rashidi et al.,breast,MCF-7,Umbelliprenin,545.7,48,8.34
Rashidi et al.,breast,MCF-7,Umbelliprenin,8.1,72,98.18
Rashidi et al.,breast,MCF-7,Umbelliprenin,16.3,72,96.37
Rashidi et al.,breast,MCF-7,Umbelliprenin,32.7,72,94.55
Rashidi et al.,breast,MCF-7,Umbelliprenin,68.2,72,89.83
Rashidi et al.,breast,MCF-7,Umbelliprenin,136.4,72,53.72
Rashidi et al.,breast,MCF-7,Umbelliprenin,272.8,72,17.96
Rashidi et al.,breast,MCF-7,Umbelliprenin,545.7,72,9.8
Wang et al.,pancreatic,BxPC3,Umbelliprenin,27.3,24,86.53
Wang et al.,pancreatic,BxPC3,Umbelliprenin,54.6,24,80.8
Wang et al.,pancreatic,BxPC3,Umbelliprenin,109.14,24,65.65
Wang et al.,pancreatic,BxPC3,Umbelliprenin,218.3,24,53.53
Wang et al.,pancreatic,BxPC3,Umbelliprenin,436.6,24,33.33
Wang et al.,pancreatic,BxPC3,Umbelliprenin,27.3,48,81.81
Wang et al.,pancreatic,BxPC3,Umbelliprenin,54.6,48,62.96
Wang et al.,pancreatic,BxPC3,Umbelliprenin,109.14,48,45.79
Wang et al.,pancreatic,BxPC3,Umbelliprenin,218.3,48,25.92
Wang et al.,pancreatic,BxPC3,Umbelliprenin,436.6,48,17.5
Wang et al.,pancreatic,Capan-1,Umbelliprenin,27.3,24,93.1
Wang et al.,pancreatic,Capan-1,Umbelliprenin,54.6,24,83.1
Wang et al.,pancreatic,Capan-1,Umbelliprenin,109.14,24,62.41
Wang et al.,pancreatic,Capan-1,Umbelliprenin,218.3,24,43.79
Wang et al.,pancreatic,Capan-1,Umbelliprenin,436.6,24,33.44
Wang et al.,pancreatic,Capan-1,Umbelliprenin,27.3,48,85.51
Wang et al.,pancreatic,Capan-1,Umbelliprenin,54.6,48,65.86
Wang et al.,pancreatic,Capan-1,Umbelliprenin,109.14,48,50.34
Wang et al.,pancreatic,Capan-1,Umbelliprenin,218.3,48,31.72
Wang et al.,pancreatic,Capan-1,Umbelliprenin,436.6,48,11.72
Wang et al.,pancreatic,PANC-1,Umbelliprenin,27.3,24,85.66
Wang et al.,pancreatic,PANC-1,Umbelliprenin,54.6,24,76.45
Wang et al.,pancreatic,PANC-1,Umbelliprenin,109.14,24,60.75
Wang et al.,pancreatic,PANC-1,Umbelliprenin,218.3,24,51.53
Wang et al.,pancreatic,PANC-1,Umbelliprenin,436.6,24,33.78
Wang et al.,pancreatic,PANC-1,Umbelliprenin,27.3,48,77.8
Wang et al.,pancreatic,PANC-1,Umbelliprenin,54.6,48,60.0
Wang et al.,pancreatic,PANC-1,Umbelliprenin,109.14,48,47.44
Wang et al.,pancreatic,PANC-1,Umbelliprenin,218.3,48,33.1
Wang et al.,pancreatic,PANC-1,Umbelliprenin,436.6,48,23.89
Zhang et al.,gastric,AGS,Umbelliprenin,6.25,24,87.72
Zhang et al.,gastric,AGS,Umbelliprenin,12.5,24,80.86
Zhang et al.,gastric,AGS,Umbelliprenin,25.0,24,71.43
Zhang et al.,gastric,AGS,Umbelliprenin,50.0,24,48.0
Zhang et al.,gastric,AGS,Umbelliprenin,100.0,24,20.0
Zhang et al.,gastric,AGS,Umbelliprenin,3.13,24,83.33
Zhang et al.,gastric,AGS,Umbelliprenin,3.13,48,72.13
Zhang et al.,gastric,AGS,Umbelliprenin,3.13,72,66.16
Zhang et al.,gastric,AGS,Umbelliprenin,6.25,24,63.68
Zhang et al.,gastric,AGS,Umbelliprenin,6.25,48,54.71
Zhang et al.,gastric,AGS,Umbelliprenin,6.25,72,52.83
Zhang et al.,gastric,AGS,Umbelliprenin,12.5,24,34.82
Zhang et al.,gastric,AGS,Umbelliprenin,12.5,48,32.58
Zhang et al.,gastric,AGS,Umbelliprenin,12.5,72,30.09
Zhang et al.,gastric,AGS,Umbelliprenin,25.0,24,24.37
Zhang et al.,gastric,AGS,Umbelliprenin,25.0,48,22.13
Zhang et al.,gastric,AGS,Umbelliprenin,25.0,72,20.14
Zhang et al.,gastric,AGS,Umbelliprenin,50.0,24,14.67
Zhang et al.,gastric,AGS,Umbelliprenin,50.0,48,12.68
Zhang et al.,gastric,AGS,Umbelliprenin,50.0,72,10.19
Ziai et al.,leukemia:lymphoma,Jurkat T,Umbelliprenin,10.0,16,92.47
Ziai et al.,leukemia:lymphoma,Jurkat T,Umbelliprenin,25.0,16,86.15
Ziai et al.,leukemia:lymphoma,Jurkat T,Umbelliprenin,50.0,16,63.06
Ziai et al.,leukemia:lymphoma,Jurkat T,Umbelliprenin,100.0,16,39.73
Ziai et al.,leukemia:lymphoma,Jurkat T,Umbelliprenin,10.0,48,69.18
Ziai et al.,leukemia:lymphoma,Jurkat T,Umbelliprenin,25.0,48,50.35
Ziai et al.,leukemia:lymphoma,Jurkat T,Umbelliprenin,50.0,48,25.69
Ziai et al.,leukemia:lymphoma,Jurkat T,Umbelliprenin,100.0,48,13.7
Chou 2007,cervical,Hela,Osthole,13.0,48,96.0
Chou 2007,cervical,Hela,Osthole,25.0,48,84.0
Chou 2007,cervical,Hela,Osthole,50.0,48,63.0
Chou 2007,cervical,Hela,Osthole,100.0,48,20.0
Chou 2007,cervical,Hela,Osthole,200.0,48,0.0
Chou 2007,cervical,Hela,Osthole,13.0,24,100.0
Chou 2007,cervical,Hela,Osthole,25.0,24,100.0
Chou 2007,cervical,Hela,Osthole,50.0,24,100.0
Chou 2007,cervical,Hela,Osthole,100.0,24,86.0
Chou 2007,cervical,Hela,Osthole,200.0,24,8.0
Jiang 2016,ovarian,A2780,Osthole,20.0,48,72.0
Jiang 2016,ovarian,A2780,Osthole,40.0,48,58.0
Jiang 2016,ovarian,A2780,Osthole,80.0,48,43.0
Jiang 2016,ovarian,A2780,Osthole,120.0,48,30.0
Jiang 2016,ovarian,A2780,Osthole,160.0,48,22.0
Jiang 2016,ovarian,A2780,Osthole,200.0,48,17.0
Jiang 2016,ovarian,A2780,Osthole,20.0,24,91.0
Jiang 2016,ovarian,A2780,Osthole,40.0,24,80.0
Jiang 2016,ovarian,A2780,Osthole,80.0,24,71.0
Jiang 2016,ovarian,A2780,Osthole,120.0,24,55.0
Jiang 2016,ovarian,A2780,Osthole,160.0,24,39.0
Jiang 2016,ovarian,A2780,Osthole,200.0,24,27.0
Liu 2022,breast,MDA-MB-231,Osthole,0.1,48,100.8
Liu 2022,breast,MDA-MB-231,Osthole,1.0,48,99.5
Liu 2022,breast,MDA-MB-231,Osthole,5.0,48,97.5
Liu 2022,breast,MDA-MB-231,Osthole,10.0,48,96.2
Liu 2022,breast,MDA-MB-231,Osthole,20.0,48,88.7
Liu 2022,breast,MDA-MB-231,Osthole,50.0,48,65.5
Liu 2022,breast,MDA-MB-231,Osthole,100.0,48,42.4
Liu 2022,breast,MDA-MB-231,Osthole,50.0,12,94.0
Liu 2022,breast,MDA-MB-231,Osthole,50.0,24,85.0
Liu 2022,breast,MDA-MB-231,Osthole,50.0,72,52.0
Yang 2010,breast,MDA-MB-231,Osthole,20.0,24,94.6
Yang 2010,breast,MDA-MB-231,Osthole,40.0,24,92.6
Yang 2010,breast,MDA-MB-231,Osthole,60.0,24,92.6
Yang 2010,breast,MDA-MB-231,Osthole,80.0,24,91.2
Yang 2010,breast,MDA-MB-231,Osthole,100.0,24,90.7
Yang 2010,breast,MCF-7,Osthole,20.0,24,98.1
Yang 2010,breast,MCF-7,Osthole,40.0,24,96.2
Yang 2010,breast,MCF-7,Osthole,60.0,24,93.2
Yang 2010,breast,MCF-7,Osthole,80.0,24,94.7
Yang 2010,breast,MCF-7,Osthole,100.0,24,87.9
Yu-ching Wen 2015,prostate,PC3,Osthole,0.0,24,100.0
Yu-ching Wen 2015,prostate,PC3,Osthole,20.0,24,102.0
Yu-ching Wen 2015,prostate,PC3,Osthole,40.0,24,109.0
Yu-ching Wen 2015,prostate,PC3,Osthole,60.0,24,101.6
Yu-ching Wen 2015,prostate,PC3,Osthole,80.0,24,90.4
Yu-ching Wen 2015,prostate,Du145,Osthole,0.0,24,101.0
Yu-ching Wen 2015,prostate,Du145,Osthole,20.0,24,99.0
Yu-ching Wen 2015,prostate,Du145,Osthole,40.0,24,97.0
Yu-ching Wen 2015,prostate,Du145,Osthole,60.0,24,97.5
Yu-ching Wen 2015,prostate,Du145,Osthole,80.0,24,95.3
YILIN CHE 2018,cervical,Hela,Osthole,0.0,24,100.0
YILIN CHE 2018,cervical,Hela,Osthole,40.0,24,92.6
YILIN CHE 2018,cervical,Hela,Osthole,80.0,24,87.0
YILIN CHE 2018,cervical,Hela,Osthole,120.0,24,63.0
YILIN CHE 2018,cervical,Hela,Osthole,160.0,24,49.4
YILIN CHE 2018,cervical,Hela,Osthole,200.0,24,40.5
YILIN CHE 2018,cervical,Hela,Osthole,0.0,48,100.0
YILIN CHE 2018,cervical,Hela,Osthole,40.0,48,96.7
YILIN CHE 2018,cervical,Hela,Osthole,80.0,48,73.4
YILIN CHE 2018,cervical,Hela,Osthole,120.0,48,41.0
YILIN CHE 2018,cervical,Hela,Osthole,160.0,48,20.0
YILIN CHE 2018,cervical,Hela,Osthole,200.0,48,17.0
YILIN CHE 2018,endometrial,SiHa,Osthole,0.0,24,100.0
YILIN CHE 2018,endometrial,SiHa,Osthole,40.0,24,93.3
YILIN CHE 2018,endometrial,SiHa,Osthole,80.0,24,83.0
YILIN CHE 2018,endometrial,SiHa,Osthole,120.0,24,65.2
YILIN CHE 2018,endometrial,SiHa,Osthole,160.0,24,42.6
YILIN CHE 2018,endometrial,SiHa,Osthole,200.0,24,33.6
YILIN CHE 2018,cervical,SiHa,Osthole,0.0,48,100.0
YILIN CHE 2018,cervical,SiHa,Osthole,40.0,48,81.6
YILIN CHE 2018,cervical,SiHa,Osthole,80.0,48,70.0
YILIN CHE 2018,cervical,SiHa,Osthole,120.0,48,47.3
YILIN CHE 2018,cervical,SiHa,Osthole,160.0,48,33.0
YILIN CHE 2018,cervical,SiHa,Osthole,200.0,48,22.0
YILIN CHE 2018,cervical,C-33A,Osthole,0.0,24,100.0
YILIN CHE 2018,cervical,C-33A,Osthole,40.0,24,87.5
YILIN CHE 2018,cervical,C-33A,Osthole,80.0,24,80.5
YILIN CHE 2018,cervical,C-33A,Osthole,120.0,24,70.6
YILIN CHE 2018,cervical,C-33A,Osthole,160.0,24,43.0
YILIN CHE 2018,cervical,C-33A,Osthole,200.0,24,31.0
YILIN CHE 2018,cervical,C-33A,Osthole,0.0,48,100.0
YILIN CHE 2018,cervical,C-33A,Osthole,40.0,48,76.4
YILIN CHE 2018,cervical,C-33A,Osthole,80.0,48,67.8
YILIN CHE 2018,cervical,C-33A,Osthole,120.0,48,43.8
YILIN CHE 2018,cervical,C-33A,Osthole,160.0,48,25.4
YILIN CHE 2018,cervical,C-33A,Osthole,200.0,48,19.0
YILIN CHE 2018,cervical,CaSki,Osthole,0.0,24,100.0
YILIN CHE 2018,cervical,CaSki,Osthole,40.0,24,94.0
YILIN CHE 2018,cervical,CaSki,Osthole,80.0,24,83.3
YILIN CHE 2018,cervical,CaSki,Osthole,120.0,24,54.4
YILIN CHE 2018,cervical,CaSki,Osthole,160.0,24,34.6
YILIN CHE 2018,cervical,CaSki,Osthole,200.0,24,34.6
YILIN CHE 2018,cervical,CaSki,Osthole,0.0,48,100.0
YILIN CHE 2018,cervical,CaSki,Osthole,40.0,48,79.0
YILIN CHE 2018,cervical,CaSki,Osthole,80.0,48,62.0
YILIN CHE 2018,cervical,CaSki,Osthole,120.0,48,37.4
YILIN CHE 2018,cervical,CaSki,Osthole,160.0,48,21.9
YILIN CHE 2018,cervical,CaSki,Osthole,200.0,48,19.8
Shang Jyh Kao 2012,lung,A549,Osthole,0.0,24,101.0
Shang Jyh Kao 2012,lung,A549,Osthole,20.0,24,103.0
Shang Jyh Kao 2012,lung,A549,Osthole,40.0,24,97.1
Shang Jyh Kao 2012,lung,A549,Osthole,60.0,24,94.7
Shang Jyh Kao 2012,lung,H1299,Osthole,0.0,24,100.4
Shang Jyh Kao 2012,lung,H1299,Osthole,20.0,24,106.1
Shang Jyh Kao 2012,lung,H1299,Osthole,40.0,24,102.0
Shang Jyh Kao 2012,lung,H1299,Osthole,60.0,24,94.7
Shang Jyh Kao 2012,lung,CL1-5,Osthole,0.0,24,100.4
Shang Jyh Kao 2012,lung,CL1-5,Osthole,20.0,24,102.0
Shang Jyh Kao 2012,lung,CL1-5,Osthole,40.0,24,95.5
Shang Jyh Kao 2012,lung,CL1-5,Osthole,60.0,24,94.7
Yunzhong Jiang 2023,bladder,5637,Osthole,25.0,24,93.3
Yunzhong Jiang 2023,bladder,5637,Osthole,50.0,24,82.2
Yunzhong Jiang 2023,bladder,5637,Osthole,75.0,24,67.7
Yunzhong Jiang 2023,bladder,5637,Osthole,100.0,24,55.5
Yunzhong Jiang 2023,bladder,5637,Osthole,125.0,24,52.7
Yunzhong Jiang 2023,bladder,5637,Osthole,150.0,24,51.0
Yunzhong Jiang 2023,bladder,5637,Osthole,175.0,24,47.2
Yunzhong Jiang 2023,bladder,5637,Osthole,200.0,24,42.2
Yunzhong Jiang 2023,bladder,5637,Osthole,25.0,48,85.5
Yunzhong Jiang 2023,bladder,5637,Osthole,50.0,48,63.8
Yunzhong Jiang 2023,bladder,5637,Osthole,75.0,48,42.7
Yunzhong Jiang 2023,bladder,5637,Osthole,100.0,48,31.6
Yunzhong Jiang 2023,bladder,5637,Osthole,125.0,48,27.7
Yunzhong Jiang 2023,bladder,5637,Osthole,150.0,48,24.4
Yunzhong Jiang 2023,bladder,5637,Osthole,175.0,48,21.6
Yunzhong Jiang 2023,bladder,5637,Osthole,200.0,48,19.5
Yunzhong Jiang 2023,bladder,253J,Osthole,25.0,24,91.9
Yunzhong Jiang 2023,bladder,253J,Osthole,50.0,24,87.2
Yunzhong Jiang 2023,bladder,253J,Osthole,75.0,24,83.4
Yunzhong Jiang 2023,bladder,253J,Osthole,100.0,24,74.3
Yunzhong Jiang 2023,bladder,253J,Osthole,125.0,24,64.7
Yunzhong Jiang 2023,bladder,253J,Osthole,150.0,24,55.6
Yunzhong Jiang 2023,bladder,253J,Osthole,175.0,24,44.9
Yunzhong Jiang 2023,bladder,253J,Osthole,200.0,24,35.3
Yunzhong Jiang 2023,bladder,253J,Osthole,25.0,48,87.7
Yunzhong Jiang 2023,bladder,253J,Osthole,50.0,48,75.9
Yunzhong Jiang 2023,bladder,253J,Osthole,75.0,48,63.6
Yunzhong Jiang 2023,bladder,253J,Osthole,100.0,48,55.1
Yunzhong Jiang 2023,bladder,253J,Osthole,125.0,48,42.2
Yunzhong Jiang 2023,bladder,253J,Osthole,150.0,48,38.8
Yunzhong Jiang 2023,bladder,253J,Osthole,175.0,48,25.7
Yunzhong Jiang 2023,bladder,253J,Osthole,200.0,48,14.4
LEI LIANG 2021,endometrial,JEC,Osthole,25.0,24,92.0
LEI LIANG 2021,endometrial,JEC,Osthole,50.0,24,82.0
LEI LIANG 2021,endometrial,JEC,Osthole,100.0,24,67.0
LEI LIANG 2021,endometrial,JEC,Osthole,200.0,24,61.0
LEI LIANG 2021,endometrial,JEC,Osthole,25.0,48,78.8
LEI LIANG 2021,endometrial,JEC,Osthole,50.0,48,56.9
LEI LIANG 2021,endometrial,JEC,Osthole,100.0,48,48.8
LEI LIANG 2021,endometrial,JEC,Osthole,200.0,48,30.6
LEI LIANG 2021,endometrial,JEC,Osthole,25.0,72,60.0
LEI LIANG 2021,endometrial,JEC,Osthole,50.0,72,46.8
LEI LIANG 2021,endometrial,JEC,Osthole,100.0,72,35.0
LEI LIANG 2021,endometrial,JEC,Osthole,200.0,72,20.0
LEI LIANG 2021,endometrial,KLE,Osthole,25.0,24,96.9
LEI LIANG 2021,endometrial,KLE,Osthole,50.0,24,86.3
LEI LIANG 2021,endometrial,KLE,Osthole,100.0,24,68.8
LEI LIANG 2021,endometrial,KLE,Osthole,200.0,24,63.1
LEI LIANG 2021,endometrial,KLE,Osthole,25.0,48,91.3
LEI LIANG 2021,endometrial,KLE,Osthole,50.0,48,70.0
LEI LIANG 2021,endometrial,KLE,Osthole,100.0,48,57.5
LEI LIANG 2021,endometrial,KLE,Osthole,200.0,48,45.6
LEI LIANG 2021,endometrial,KLE,Osthole,25.0,72,76.8
LEI LIANG 2021,endometrial,KLE,Osthole,50.0,72,55.6
LEI LIANG 2021,endometrial,KLE,Osthole,100.0,72,45.0
LEI LIANG 2021,endometrial,KLE,Osthole,200.0,72,31.9
LEI LIANG 2021,endometrial,Ishikawa,Osthole,25.0,24,92.1
LEI LIANG 2021,endometrial,Ishikawa,Osthole,50.0,24,84.3
LEI LIANG 2021,endometrial,Ishikawa,Osthole,100.0,24,72.0
LEI LIANG 2021,endometrial,Ishikawa,Osthole,200.0,24,68.0
LEI LIANG 2021,endometrial,Ishikawa,Osthole,25.0,48,86.2
LEI LIANG 2021,endometrial,Ishikawa,Osthole,50.0,48,76.1
LEI LIANG 2021,endometrial,Ishikawa,Osthole,100.0,48,49.7
LEI LIANG 2021,endometrial,Ishikawa,Osthole,200.0,48,37.1
LEI LIANG 2021,endometrial,Ishikawa,Osthole,25.0,72,76.1
LEI LIANG 2021,endometrial,Ishikawa,Osthole,50.0,72,57.2
LEI LIANG 2021,endometrial,Ishikawa,Osthole,100.0,72,40.3
LEI LIANG 2021,endometrial,Ishikawa,Osthole,200.0,72,28.3
Cheng-Fang Tsai 2014,glioma,U251,Osthole,1.0,24,81.4
Cheng-Fang Tsai 2014,glioma,U251,Osthole,10.0,24,73.1
Cheng-Fang Tsai 2014,glioma,U251,Osthole,30.0,24,48.3
Cheng-Fang Tsai 2014,glioma,HS683,Osthole,1.0,24,97.9
Cheng-Fang Tsai 2014,glioma,HS683,Osthole,10.0,24,86.2
Cheng-Fang Tsai 2014,glioma,HS683,Osthole,30.0,24,71.0
XIAO-MAN XU 2012,lung,A549,Osthole,20.0,24,91.5
XIAO-MAN XU 2012,lung,A549,Osthole,40.0,24,80.9
XIAO-MAN XU 2012,lung,A549,Osthole,60.0,24,73.0
XIAO-MAN XU 2012,lung,A549,Osthole,80.0,24,61.0
VICTOR C HIA -HSIANG L IN 2010,breast,MDA-MB-231,Osthole,5.0,48,97.7
VICTOR C HIA -HSIANG L IN 2010,breast,MDA-MB-231,Osthole,10.0,48,100.5
VICTOR C HIA -HSIANG L IN 2010,breast,MDA-MB-231,Osthole,20.0,48,98.7
VICTOR C HIA -HSIANG L IN 2010,breast,MDA-MB-231,Osthole,40.0,48,86.3
VICTOR C HIA -HSIANG L IN 2010,breast,MDA-MB-231,Osthole,80.0,48,69.3
VICTOR C HIA -HSIANG L IN 2010,breast,MCF-7,Osthole,5.0,48,97.7
VICTOR C HIA -HSIANG L IN 2010,breast,MCF-7,Osthole,10.0,48,95.9
VICTOR C HIA -HSIANG L IN 2010,breast,MCF-7,Osthole,20.0,48,90.0
VICTOR C HIA -HSIANG L IN 2010,breast,MCF-7,Osthole,40.0,48,89.7
VICTOR C HIA -HSIANG L IN 2010,breast,MCF-7,Osthole,80.0,48,86.7
VICTOR C HIA -HSIANG L IN 2010,ovarian,SKOV3,Osthole,5.0,48,81.0
VICTOR C HIA -HSIANG L IN 2010,ovarian,SKOV3,Osthole,10.0,48,70.2
VICTOR C HIA -HSIANG L IN 2010,ovarian,SKOV3,Osthole,20.0,48,64.3
VICTOR C HIA -HSIANG L IN 2010,ovarian,SKOV3,Osthole,40.0,48,54.4
VICTOR C HIA -HSIANG L IN 2010,ovarian,SKOV3,Osthole,80.0,48,45.5
JISOO SONG 2024,prostate,PC3,Osthole,2.0,48,97.3
JISOO SONG 2024,prostate,PC3,Osthole,5.0,48,86.4
JISOO SONG 2024,prostate,PC3,Osthole,10.0,48,52.7
JISOO SONG 2024,prostate,PC3,Osthole,20.0,48,50.0
JISOO SONG 2024,prostate,PC3,Osthole,50.0,48,55.5
JISOO SONG 2024,prostate,Du145,Osthole,2.0,48,76.4
JISOO SONG 2024,prostate,Du145,Osthole,5.0,48,56.4
JISOO SONG 2024,prostate,Du145,Osthole,10.0,48,47.3
JISOO SONG 2024,prostate,Du145,Osthole,20.0,48,47.3
JISOO SONG 2024,prostate,Du145,Osthole,50.0,48,44.6
ZHI-KUN LIN 2017,liver,MHCC-97H,Osthole,20.0,24,92.7
ZHI-KUN LIN 2017,liver,MHCC-97H,Osthole,40.0,24,87.7
ZHI-KUN LIN 2017,liver,MHCC-97H,Osthole,80.0,24,82.7
ZHI-KUN LIN 2017,liver,MHCC-97H,Osthole,120.0,24,74.7
ZHI-KUN LIN 2017,liver,MHCC-97H,Osthole,160.0,24,63.2
ZHI-KUN LIN 2017,liver,MHCC-97H,Osthole,200.0,24,55.3
ZHI-KUN LIN 2017,liver,MHCC-97H,Osthole,20.0,48,86.2
ZHI-KUN LIN 2017,liver,MHCC-97H,Osthole,40.0,48,74.7
ZHI-KUN LIN 2017,liver,MHCC-97H,Osthole,80.0,48,54.6
ZHI-KUN LIN 2017,liver,MHCC-97H,Osthole,120.0,48,48.1
ZHI-KUN LIN 2017,liver,MHCC-97H,Osthole,160.0,48,41.0
ZHI-KUN LIN 2017,liver,MHCC-97H,Osthole,200.0,48,33.7
ZHI-KUN LIN 2017,liver,HCC-LM3,Osthole,20.0,24,95.6
ZHI-KUN LIN 2017,liver,HCC-LM3,Osthole,40.0,24,86.2
ZHI-KUN LIN 2017,liver,HCC-LM3,Osthole,80.0,24,72.6
ZHI-KUN LIN 2017,liver,HCC-LM3,Osthole,120.0,24,64.7
ZHI-KUN LIN 2017,liver,HCC-LM3,Osthole,160.0,24,53.1
ZHI-KUN LIN 2017,liver,HCC-LM3,Osthole,200.0,24,43.1
ZHI-KUN LIN 2017,liver,HCC-LM3,Osthole,20.0,48,84.8
ZHI-KUN LIN 2017,liver,HCC-LM3,Osthole,40.0,48,73.3
ZHI-KUN LIN 2017,liver,HCC-LM3,Osthole,80.0,48,59.6
ZHI-KUN LIN 2017,liver,HCC-LM3,Osthole,120.0,48,51.0
ZHI-KUN LIN 2017,liver,HCC-LM3,Osthole,160.0,48,37.4
ZHI-KUN LIN 2017,liver,HCC-LM3,Osthole,200.0,48,32.3
Xinbing Zhu 2018,esophageal,KYSE180,Osthole,20.0,24,87.9
Xinbing Zhu 2018,esophageal,KYSE180,Osthole,40.0,24,83.7
Xinbing Zhu 2018,esophageal,KYSE180,Osthole,80.0,24,75.2
Xinbing Zhu 2018,esophageal,KYSE180,Osthole,120.0,24,48.2
Xinbing Zhu 2018,esophageal,KYSE180,Osthole,160.0,24,40.6
Xinbing Zhu 2018,esophageal,KYSE180,Osthole,200.0,24,31.3
Xinbing Zhu 2018,esophageal,KYSE180,Osthole,240.0,24,24.5
Xinbing Zhu 2018,esophageal,KYSE180,Osthole,20.0,48,81.1
Xinbing Zhu 2018,esophageal,KYSE180,Osthole,40.0,48,74.4
Xinbing Zhu 2018,esophageal,KYSE180,Osthole,80.0,48,60.0
Xinbing Zhu 2018,esophageal,KYSE180,Osthole,120.0,48,34.7
Xinbing Zhu 2018,esophageal,KYSE180,Osthole,160.0,48,24.5
Xinbing Zhu 2018,esophageal,KYSE180,Osthole,200.0,48,11.8
Xinbing Zhu 2018,esophageal,KYSE180,Osthole,240.0,48,5.1
Xinbing Zhu 2018,esophageal,kYSE410,Osthole,20.0,24,93.8
Xinbing Zhu 2018,esophageal,kYSE410,Osthole,40.0,24,87.8
Xinbing Zhu 2018,esophageal,kYSE410,Osthole,80.0,24,73.5
Xinbing Zhu 2018,esophageal,kYSE410,Osthole,120.0,24,65.9
Xinbing Zhu 2018,esophageal,kYSE410,Osthole,160.0,24,59.2
Xinbing Zhu 2018,esophageal,kYSE410,Osthole,200.0,24,48.2
Xinbing Zhu 2018,esophageal,kYSE410,Osthole,240.0,24,37.2
Xinbing Zhu 2018,esophageal,KYSE410,Osthole,20.0,48,93.8
Xinbing Zhu 2018,esophageal,KYSE410,Osthole,40.0,48,83.7
Xinbing Zhu 2018,esophageal,KYSE410,Osthole,80.0,48,63.4
Xinbing Zhu 2018,esophageal,KYSE410,Osthole,120.0,48,46.5
Xinbing Zhu 2018,esophageal,KYSE410,Osthole,160.0,48,37.2
Xinbing Zhu 2018,esophageal,KYSE410,Osthole,200.0,48,31.3
Xinbing Zhu 2018,esophageal,KYSE410,Osthole,240.0,48,19.4
Xinbing Zhu 2018,esophageal,KYSE510,Osthole,20.0,24,93.8
Xinbing Zhu 2018,esophageal,KYSE510,Osthole,40.0,24,87.8
Xinbing Zhu 2018,esophageal,KYSE510,Osthole,80.0,24,76.1
